iter	Passed	Remaining
133	4738	16478
134	4773	16441
135	4806	16397
136	4839	16354
137	4869	16303
138	4890	16218
139	4921	16172
140	4954	16127
141	4986	16081
142	5017	16034
143	5050	15992
144	5085	15958
145	5106	15879
146	5139	15837
147	5171	15794
148	5205	15756
149	5235	15707
150	5267	15662
151	5299	15618
152	5336	15592
153	5367	15545
154	5399	15502
155	5430	15457
156	5463	15415
157	5493	15367
158	5526	15329
159	5559	15288
160	5593	15253
161	5608	15164
162	5638	15116
163	5670	15075
164	5700	15027
165	5710	14929
166	5740	14884
167	5775	14851
168	5814	14829
169	5873	14856
170	5916	14842
171	5952	14813
172	5987	14777
173	6019	14736
174	6052	14699
175	6084	14658
176	6117	14620
177	6150	14582
178	6186	14549
179	6217	14507
180	6249	14466
181	6281	14426
182	6311	14381
183	6341	14338
184	6374	14298
185	6405	14256
186	6419	14178
187	6452	14140
188	6485	14104
189	6518	14066
190	6550	14027
191	6565	13950
192	6596	13910
193	6628	13871
194	6661	13836
195	6692	13794
196	6726	13759
197	6741	13686
198	6774	13650
199	6810	13620
200	6841	13579
201	6873	13542
202	6907	13508
203	6939	13469
204	6974	13438
205	7012	13412
206	7063	13411
207	7108	13396
208	7146	13369
209	7181	13337
210	7218	13307
211	7252	13273
212	7285	13237
213	7317	13198
214	7350	13161
215	7387	13132
216	7421	13099
217	7457	13067
218	7489	13029
219	7521	12991
220	7554	12956
221	7586	12917
222	7619	12881
223	7654	12848
224	7689	12815
225	7725	12785
226	7762	12755
227	7795	12719
228	7827	12680
229	7859	12643
230	7890	12604
231	7921	12565
232	7954	12529
233	7993	12503
234	8030	12473
235	8060	12432
236	8092	12395
237	8124	12357
238	8154	12317
239	8190	12285
240	8237	12270
241	8281	12251
242	8330	12239
243	8365	12205
244	8401	12173
245	8431	12133
246	8463	12096
247	8496	12060
248	8528	12022
249	8560	11984
250	8591	11945
251	8622	11907
252	8654	11869
253	8685	11831
254	8718	11796
255	8753	11761
256	8787	11727
257	8818	11689
258	8848	11650
259	8878	11610
260	8909	11572
261	8940	11534
262	8970	11495
263	9003	11458
264	9035	11422
265	9068	11386
266	9098	11348
267	9130	11310
268	9169	11282
269	9206	11252
270	9241	11219
271	9275	11184
272	9309	11150
273	9341	11113
274	9378	11083
275	9414	11051
276	9457	11027
277	9510	11015
278	9548	10986
279	9582	10950
280	9612	10912
281	9644	10875
282	9678	10841
283	9710	10805
284	9741	10766
285	9774	10731
286	9806	10695
287	9838	10658
288	9868	10619
289	9901	10583
290	9933	10548
291	9967	10513
292	9999	10477
293	10031	10441
294	10063	10404
295	10098	10371
296	10132	10336
297	10164	10300
298	10196	10264
299	10229	10229
300	10261	10193
301	10292	10155
302	10325	10121
303	10358	10085
304	10389	10049
305	10424	10015
306	10457	9980
307	10489	9944
308	10557	9942
309	10598	9914
310	10645	9892
311	10692	9869
312	10737	9845
313	10771	9810
314	10804	9775
315	10836	9739
316	10869	9703
317	10900	9666
318	10931	9629
319	10964	9593
320	10995	9556
321	11025	9518
322	11055	9481
323	11086	9444
324	11120	9409
325	11151	9372
326	11188	9340
327	11219	9303
328	11246	9264
329	11277	9227
330	11307	9189
331	11338	9152
332	11368	9115
333	11402	9081
334	11435	9045
335	11465	9008
336	11497	8972
337	11529	8937
338	11562	8901
339	11595	8866
340	11626	8830
341	11657	8794
342	11689	8758
343	11720	8722
344	11755	8688
345	11794	8658
346	11846	8637
347	11890	8610
348	11933	8582
349	11966	8547
350	11996	8510
351	12030	8475
352	12062	8440
353	12094	8404
354	12126	8369
355	12159	8334
356	12191	8298
357	12223	8262
358	12252	8225
359	12287	8191
360	12319	8155
361	12351	8120
362	12383	8084
363	12414	8048
364	12447	8014
365	12485	7982
366	12516	7946
367	12550	7912
368	12581	7876
369	12613	7841
370	12650	7808
371	12688	7777
372	12723	7742
373	12758	7709
374	12788	7673
375	12821	7638
376	12854	7603
377	12887	7568
378	12920	7534
379	12956	7501
380	12996	7470
381	13044	7444
382	13102	7423
383	13139	7390
384	13173	7356
385	13203	7320
386	13237	7285
387	13266	7248
388	13301	7214
389	13331	7178
390	13363	7143
391	13396	7108
392	13427	7072
393	13458	7036
394	13491	7001
395	13522	6966
396	13553	6930
397	13585	6894
398	13618	6860
399	13648	6824
400	13680	6789
